datetime,portfolio_value,cash,positions,return
2024-07-24 12:59:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:00:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:01:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:02:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:03:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:04:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:05:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:06:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:07:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:08:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:09:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:10:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:11:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:12:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:13:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:14:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:15:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:16:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:17:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:18:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:19:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:20:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:21:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:22:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:23:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:24:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:25:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:26:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:27:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:28:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:29:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:30:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:31:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:32:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:33:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:34:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:35:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:36:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:37:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:38:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:39:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:40:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:41:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:42:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:43:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:44:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:45:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:46:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:47:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:48:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:49:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:50:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:51:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:52:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:53:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:54:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:55:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:56:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:57:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:58:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 13:59:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 14:00:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-24 14:01:00-04:00,98827.86608886719,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
